Date,Revenue,newdate
27-Feb-16,641.11,2/27/2016
28-Feb-16,2367.2,2/28/2016
29-Feb-16,17169.63,2/29/2016
1-Mar-16,6642.4,3/1/2016
2-Mar-16,1852.24,3/2/2016
3-Mar-16,38669.49,3/3/2016
4-Mar-16,757.59,3/4/2016
5-Mar-16,5453.5,3/5/2016
6-Mar-16,2623.2,3/6/2016
7-Mar-16,13292.85,3/7/2016
8-Mar-16,15744.25,3/8/2016
9-Mar-16,1463.68,3/9/2016
10-Mar-16,3300.55,3/10/2016
11-Mar-16,19524.62,3/11/2016
12-Mar-16,1700.8,3/12/2016
13-Mar-16,1192.8,3/13/2016
14-Mar-16,29245.78,3/14/2016
15-Mar-16,2694.82,3/15/2016
16-Mar-16,33310.05,3/16/2016
17-Mar-16,7797.55,3/17/2016
18-Mar-16,5790.61,3/18/2016
19-Mar-16,1324,3/19/2016
20-Mar-16,2518.4,3/20/2016
21-Mar-16,49268.02,3/21/2016
